season,game_id,game_date,away_team_id,away_team_abbr,away_team,away_score,home_team_id,home_team_abbr,home_team,home_score,actual_spread,winner,home_elo,away_elo,home_elo_post,away_elo_post,home_win_prob,away_win_prob,point_spread
2021,22100020,2021-10-22,1610612761,TOR,Toronto Raptors,115,1610612738,BOS,Boston Celtics,83,32,away,1488.4141392934157,1464.5072600009223,1441.4824569594728,1511.4389423348653,0.6711222771424404,0.32887772285755956,-4.956275171699735
2021,22100017,2021-10-22,1610612766,CHA,Charlotte Hornets,123,1610612739,CLE,Cleveland Cavaliers,112,11,away,1482.1119024903749,1504.9897586114296,1451.8357993222967,1535.2658617795078,0.609200011007682,0.39079998899231805,-3.0848857551578113
2021,22100024,2021-10-22,1610612759,SAS,San Antonio Spurs,96,1610612743,DEN,Denver Nuggets,102,-6,home,1532.8346861995606,1523.7257408602986,1546.3761060768381,1510.184320983021,0.6520543385867131,0.34794566141328687,-4.364357813570478
2021,22100034,2021-10-23,1610612763,MEM,Memphis Grizzlies,120,1610612746,LAC,LA Clippers,114,6,away,1492.8493438265214,1517.8880975096251,1469.2557837111729,1541.4816576249736,0.6062345716939335,0.39376542830606653,-2.998449852675849
2021,22100027,2021-10-23,1610612737,ATL,Atlanta Hawks,95,1610612739,CLE,Cleveland Cavaliers,101,-6,home,1451.8357993222967,1523.7257408602986,1469.723944707976,1505.8375954746193,0.540365586911512,0.45963441308848796,-1.124402338479922
2021,22100030,2021-10-23,1610612765,DET,Detroit Pistons,82,1610612741,CHI,Chicago Bulls,97,-15,home,1540.788392674523,1475.0898204165696,1556.2102904846508,1459.6679226064418,0.7218863063529012,0.2781136936470988,-6.627942890318136
2021,22100032,2021-10-23,1610612749,MIL,Milwaukee Bucks,121,1610612759,SAS,San Antonio Spurs,111,10,away,1510.184320983021,1493.4803168448354,1478.4406670450123,1525.2239707828442,0.6619065957155719,0.33809340428442813,-4.668160165527424
2021,22100033,2021-10-23,1610612756,PHX,Phoenix Suns,105,1610612757,POR,Portland Trail Blazers,134,-29,home,1482.253630000461,1498.2547665095933,1508.1991487057305,1472.3092478043238,0.6185825785184217,0.3814174214815783,-3.3599545396347095
2021,22100031,2021-10-23,1610612740,NOP,New Orleans Pelicans,89,1610612750,MIN,Minnesota Timberwolves,96,-7,home,1521.1961328909333,1445.1479418388808,1532.2717413901564,1434.0723333396577,0.7336879090557172,0.26631209094428276,-7.041927642082101
2021,22100029,2021-10-23,1610612742,DAL,Dallas Mavericks,103,1610612761,TOR,Toronto Raptors,95,8,away,1511.4389423348653,1476.2742591397014,1481.3253596517911,1506.3878418227755,0.6852641053101187,0.3147358946898813,-5.406587327806555
2021,22100028,2021-10-23,1610612748,MIA,Miami Heat,91,1610612754,IND,Indiana Pacers,102,-11,home,1490.7380790983268,1529.397539276219,1511.2450089458341,1508.8906094287117,0.5873702167190682,0.4126297832809318,-2.45362159288431
2021,22100038,2021-10-24,1610612755,PHI,Philadelphia 76ers,115,1610612760,OKC,Oklahoma City Thunder,103,12,away,1452.4619264202338,1513.2650104378054,1423.9309283504217,1541.7960085076174,0.5561707872869747,0.44382921271302533,-1.5678766392971375
2021,22100035,2021-10-24,1610612766,CHA,Charlotte Hornets,111,1610612751,BKN,Brooklyn Nets,95,16,away,1502.8309785111667,1535.2658617795078,1469.057570721641,1569.0392695690334,0.5960265551547465,0.40397344484525355,-2.7026046692663566
2021,22100036,2021-10-24,1610612753,ORL,Orlando Magic,110,1610612752,NYK,New York Knicks,104,6,away,1550.1638782628381,1437.6962415834475,1520.09559830941,1467.7645215368757,0.7726019612988161,0.2273980387011839,-8.498705467175624
2021,22100040,2021-10-24,1610612763,MEM,Memphis Grizzlies,118,1610612747,LAL,Los Angeles Lakers,121,-3,home,1442.2909922915378,1541.4816576249736,1456.1216428935613,1527.6510070229501,0.5011647241048139,0.49883527589518606,-0.03237338666256619
2021,22100039,2021-10-24,1610612744,GSW,Golden State Warriors,119,1610612758,SAC,Sacramento Kings,107,12,away,1488.5464161990742,1533.770211172787,1458.8862348559371,1563.430392515924,0.5781825917313809,0.42181740826861913,-2.1910482010514896
2021,22100037,2021-10-24,1610612738,BOS,Boston Celtics,107,1610612745,HOU,Houston Rockets,97,10,away,1504.0904533676567,1441.4824569594728,1469.642268169436,1475.9306421576935,0.7183004526719643,0.2816995473280357,-6.504319856327356
2021,22100041,2021-10-25,1610612738,BOS,Boston Celtics,140,1610612766,CHA,Charlotte Hornets,129,11,away,1569.0392695690334,1475.9306421576935,1531.6448291281886,1513.3250825985383,0.75243149363448,0.24756850636551997,-7.7243450964535985
